Player,Conference,Team,Age,Pos,PPG,RPG,APG
Shai Gilgeous-Alexander,West,OKC,26,PG,32.7,5,6.4
Anthony Edwards,West,MIN,23,SG,27.6,5.7,4.5
Nikola Jokic,West,DEN,29,C,29.6,12.7,10.2
Giannis Antetokounmpo,East,MIL,30,PF,30.4,11.9,6.5
Jayson Tatum,East,BOS,26,PF,26.8,8.7,6
Devin Booker,West,PHO,28,SG,25.6,4.1,7.1
Trae Young,East,ATL,26,PG,24.2,3.1,11.6
Tyler Herro,East,MIA,25,SG,23.9,5.2,5.5
Cade Cunningham,East,DET,23,PG,26.1,6.1,9.1
James Harden,West,LAC,35,PG,22.8,5.8,8.7
Karl-Anthony Towns,East,NYK,29,C,24.4,12.8,3.1
Zach LaVine,East,SCA,29,SF,23.3,4.3,4.2
Jalen Green,West,HOU,22,SG,21,4.6,3.4
Stephen Curry,West,GSW,36,PG,24.5,4.4,6
DeMar DeRozan,West,SAC,35,SF,22.2,3.9,4.4
LeBron James,West,LAL,40,SF,24.4,7.8,8.2
Donovan Mitchell,East,CLE,28,SG,24,4.5,5
Jalen Brunson,East,NYK,28,PG,26,2.9,7.3
Kevin Durant,West,PHO,36,PF,26.6,6,4.2
Jaren Jackson Jr.,West,MEM,25,C,22.2,5.6,2
Pascal Siakam,East,IND,30,PF,20.2,6.9,3.4
Darius Garland,East,CLE,25,PG,20.6,2.9,6.7
Coby White,East,CHI,24,SG,20.4,3.7,4.5
Jalen Williams,West,OKC,23,SG,21.6,5.3,5.1
Austin Reaves,West,LAL,26,SG,20.2,4.5,5.8
De'Aaron Fox,West,SAS,27,PG,23.5,4.8,6.3
Alperen ?eng�n,West,HOU,22,C,19.1,10.3,4.9
Franz Wagner,East,ORL,23,SF,24.2,5.7,4.7
Damian Lillard,East,MIL,34,PG,25,4.7,7.1
Mikal Bridges,East,NYK,28,SF,17.6,3.2,3.7
Jamal Murray,West,DEN,27,PG,21.4,3.9,6
Bam Adebayo,East,MIA,27,C,18.1,9.6,4.3
Luka Doncic,West,LAL,25,PG,28.2,8.2,7.7
Michael Porter Jr.,West,DEN,26,SF,18.2,7,2.1
Jaylen Brown,East,BOS,28,SF,22.2,5.8,4.5
Jordan Poole,East,WAS,25,SG,20.5,3,4.5
Tyrese Maxey,East,PHI,24,PG,26.3,3.3,6.1
Tyrese Haliburton,East,IND,24,PG,18.6,3.5,9.2
Nikola Vu?evi?,East,CHI,34,C,18.5,10.1,3.5
Anfernee Simons,West,POR,25,SG,19.3,2.7,4.8
Ivica Zubac,West,LAC,27,C,16.8,12.6,2.7
Domantas Sabonis,West,SAC,28,C,19.1,13.9,6
Malik Beasley,East,DET,28,SG,16.3,2.6,1.7
Shaedon Sharpe,West,POR,21,SG,18.5,4.5,2.8
OG Anunoby,East,NYK,27,PF,18,4.8,2.2
Desmond Bane,West,MEM,26,SG,19.2,6.1,5.3
Evan Mobley,East,CLE,23,PF,18.5,9.3,3.2
Norman Powell,West,LAC,31,SG,21.8,3.2,2.1
Miles Bridges,East,CHO,26,PF,20.3,7.5,3.9
Julius Randle,West,MIN,30,PF,18.7,7.1,4.7
Anthony Davis,West,DAL,31,PF,24.7,11.6,3.5
Scottie Barnes,East,TOR,23,PF,19.3,7.7,5.8
Derrick White,East,BOS,30,SG,16.4,4.5,4.8
Kyrie Irving,West,DAL,32,SG,24.7,4.8,4.6
RJ Barrett,East,TOR,24,SF,21.1,6.3,5.4
Deni Avdija,West,POR,24,SF,16.9,7.3,3.9
Christian Braun,West,DEN,23,SG,15.4,5.2,2.6
Paolo Banchero,East,ORL,22,PF,25.9,7.5,4.8
Stephon Castle,West,SAS,20,PG,14.7,3.7,4.1
LaMelo Ball,East,CHO,23,PG,25.2,4.9,7.4
CJ McCollum,West,NOP,33,PG,21.1,3.8,4.1
Collin Sexton,West,UTA,26,SG,18.4,2.7,4.2
Ja Morant,West,MEM,25,PG,23.2,4.1,7.3
Bennedict Mathurin,East,IND,22,SF,16.1,5.3,1.9
Payton Pritchard,East,BOS,27,PG,14.3,3.8,3.5
Naz Reid,West,MIN,25,C,14.2,6,2.3
Keyonte George,West,UTA,21,PG,16.8,3.8,5.6
Trey Murphy III,West,NOP,24,SF,21.2,5.1,3.5
Myles Turner,East,IND,28,C,15.6,6.5,1.5
Malik Monk,West,SAC,26,SG,17.2,3.8,5.6
Victor Wembanyama,West,SAS,21,C,24.3,11,3.7
