Player,Age,Conference,Team,Position,RecYds,RushYds,TDs
Saquon Barkley,27,NFC,PHI,RB,278,2005,15
Derrick Henry,30,AFC,BAL,RB,193,1921,18
Jahmyr Gibbs,22,NFC,DET,RB,517,1412,20
Bijan Robinson,22,NFC,ATL,RB,431,1456,15
Ja'Marr Chase,24,AFC,CIN,WR,1708,32,17
Josh Jacobs,26,NFC,GNB,RB,342,1329,16
Jonathan Taylor,25,AFC,IND,RB,136,1431,12
Aaron Jones,30,NFC,MIN,RB,408,1138,7
Justin Jefferson,25,NFC,MIN,WR,1533,3,10
Bucky Irving,22,NFC,TAM,RB,392,1122,8
James Conner,29,NFC,ARI,RB,414,1094,9
De'Von Achane,23,AFC,MIA,RB,592,907,12
Alvin Kamara,29,NFC,NOR,RB,543,950,8
Kyren Williams,24,NFC,LAR,RB,182,1299,16
Chuba Hubbard,25,NFC,CAR,RB,171,1195,11
Breece Hall,23,AFC,NYJ,RB,483,876,8
Chase Brown,24,AFC,CIN,RB,360,990,11
D'Andre Swift,25,NFC,CHI,RB,386,959,6
Brian Thomas,22,AFC,JAX,WR,1282,48,10
Rico Dowdle,26,NFC,DAL,RB,249,1079,5
Najee Harris,26,AFC,PIT,RB,283,1043,6
Joe Mixon,28,AFC,HOU,RB,309,1016,12
Tony Pollard,27,AFC,TEN,RB,238,1079,5
Amon-Ra St. Brown,25,NFC,DET,WR,1263,6,12
Drake London,23,NFC,ATL,WR,1271,-3,9
James Cook,25,AFC,BUF,RB,258,1009,18
CeeDee Lamb,25,NFC,DAL,WR,1194,70,6
Jerry Jeudy,25,AFC,CLE,WR,1229,0,4
Brock Bowers,22,AFC,LVR,TE,1194,13,5
Malik Nabers,21,NFC,NYG,WR,1204,2,7
Jaxon Smith-Njigba,22,NFC,SEA,WR,1130,26,6
Ladd McConkey,23,AFC,LAC,WR,1149,0,7
Trey McBride,25,NFC,ARI,TE,1146,2,3
Tyrone Tracy Jr.,25,NFC,NYG,RB,284,839,6
David Montgomery,27,NFC,DET,RB,341,775,12
Zay Flowers,24,AFC,BAL,WR,1059,56,4
