Player,Team,WAR,ERA,Strikeouts,K/9 Ratio
Garrett Crochet,BOS,4.7,2.23,175,11.1
Logan Webb,SFG,2,3.38,144,9.6
Tarik Skubal,DET,5.5,2.09,171,11.5
Robbie Ray,SFG,3,2.93,134,9.3
Merrill Kelly,ARI,3.2,3.22,121,8.5
Zack Littell,TBR,2.1,3.72,85,6
Framber Valdez,HOU,4.3,2.67,129,9.1
Zack Wheeler,PHI,5.1,2.39,164,11.5
Max Fried,NYY,3.1,2.62,116,8.2
Jose Berrios,TOR,1.8,3.83,108,7.7
Paul Skenes,PIT,5.2,1.91,137,9.7
Bryan Woo,SEA,2.9,2.91,121,8.6
Ryan Pepiot,TBR,2.1,3.42,124,8.8
Jose Soriano,LAA,2.5,3.79,108,7.7
Luis Severino,ATH,0.2,4.95,92,6.6
Mitch Keller,PIT,1.9,3.53,97,7
Carlos Rodon,NYY,2.9,3.1,139,10
Hunter Brown,HOU,3.9,2.54,149,10.8
Cristopher Sanchez,PHI,5.1,2.4,134,9.7
Kevin Gausman,TOR,1.8,3.82,122,9
Yusei Kikuchi,LAA,3.5,3.23,127,9.3
Nick Lodolo,CIN,3.9,3.08,112,8.2
Freddy Peralta,MIL,3.4,2.81,131,9.7
Nick Pivetta,SDP,3.6,2.81,131,9.7
Dean Kremer,BAL,1,4.23,99,7.3
Joe Ryan,MIN,4.2,2.82,137,10.2
Tanner Bibee,CLE,0.5,4.39,107,8
Zac Gallen,ARI,-0.1,5.58,116,8.6
Nick Martinez,CIN,1.2,4.69,86,6.4
David Peterson,NYM,2.4,2.83,101,7.5
Chris Bassitt,TOR,1.5,3.88,117,8.7
Luis Castillo,SEA,1.4,3.3,107,8
Jeffrey Springs,ATH,0.8,4.13,95,7.1
Jake Irvin,WSN,0.8,4.81,84,6.3
Matthew Boyd,CHC,2.9,2.2,108,8.2
Jacob deGrom,TEX,3.1,2.28,122,9.3
MacKenzie Gore,WSN,3,3.52,144,11
Michael Wacha,KCR,2.5,3.53,90,6.9
Kris Bubic,KCR,3.4,2.55,116,9
Sonny Gray,STL,0.8,4.33,128,9.9
Grant Holmes,ATL,1.2,3.99,123,9.6
Shane Baz,TBR,0.4,4.66,111,8.8
Jesus Luzardo,PHI,1.6,4.58,136,10.7
Dylan Cease,SDP,0.7,4.59,144,11.4
Clay Holmes,NYM,1.3,3.4,88,7
Mitchell Parker,WSN,-0.2,4.91,74,5.9
Seth Lugo,KCR,3.2,2.95,99,7.9
Tyler Anderson,LAA,2.1,4.41,87,7
Brandon Pfaadt,ARI,1.2,4.76,95,7.7
Taj Bradley,TBR,-0.3,4.61,95,7.7
Chris Paddack,MIN,0.9,4.95,83,6.7
Spencer Schwellenbach,ATL,1.9,3.09,108,8.8
Gavin Williams,CLE,1.5,3.51,109,8.9
Andre Pallante,STL,0.1,4.91,72,5.9
Yoshinobu Yamamoto,LAD,2.5,2.55,124,10.2
Bailey Falter,PIT,0.9,3.82,69,5.7
Andrew Heaney,PIT,0.5,4.79,78,6.6
JP Sears,ATH,0.7,4.98,91,7.7
Patrick Corbin,TEX,0.6,3.78,87,7.5
Matthew Liberatore,STL,1.2,4.04,83,7.1
Will Warren,NYY,0.4,4.82,124,10.7
Sandy Alcantara,MIA,-1.5,6.66,77,6.7
Jack Flaherty,DET,0.6,4.77,130,11.3
Randy Vasquez,SDP,2.1,3.65,52,4.5
Andrew Abbott,CIN,4.2,2.09,95,8.3
Brayan Bello,BOS,1.5,3.32,79,6.9
Tomoyuki Sugano,BAL,0.6,4.54,63,5.5
Antonio Senzatela,COL,-0.7,6.68,55,4.8
Brady Singer,CIN,0.6,4.84,93,8.2
Miles Mikolas,STL,0.1,4.94,70,6.2
Colin Rea,CHC,0.1,4.06,73,6.4
Logan Allen,CLE,0.5,4.16,78,6.9
Erick Fedde,STL,-0.1,5.22,63,5.6
Quinn Priester,MIL,1.7,3.28,86,7.6
Kyle Freeland,COL,0.2,5.24,74,6.6
Landen Roupp,SFG,1.1,3.11,95,8.4
Sean Burke,CHW,0.6,4.19,85,7.6
Kyle Hendricks,LAA,1,4.92,67,6
Michael Lorenzen,KCR,0.4,4.61,85,7.7
Dustin May,LAD,-0.3,4.73,92,8.4
